상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,색감 너무 이뻐요 28사이즈는 허리가 좀 껴서 29로했는데 괜찮아요,29,170,64,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",-,가성비 좋은 코듀로이 바지입니다 색깔도 적당히 밝아서 어디든 어울려요,27,0,0,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,너무너무 귀엽고 이쁩니다 다음에도 재구매 할게요,31,167,74,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,다 좋은데 턱선 대칭이 안맞네요. 그 외엔 다 좋습니다 기장이 조금 짧은 정도?,30,175,70,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,핏도좋고 지금날씨에 입기 딱좋고 사이즈도 적당합니다 아주 좋아요,29,184,73,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,촉감이 너무 좋고 입었을때 통이 넓어서 좋고 너무 이뻐요,36,181,94,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,편하게 입기 좋습니다고민하고 있다면 사는 거 추천,32,173,75,-,-,보통이에요,밝아요,보통이에요,두꺼워요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,바지가 길이도 딱 이쁘고 가격도 좋고 정말 이쁘네요 너무 맘에 들어요!,33,183,79,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,따뜻하고 좋네요 요즘 거의 매일 입고 다니는거 같아요.,33,173,85,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
1176328,MUSINSA STANDARD,와이드 코듀로이 팬츠 [라이트 베이지],바지,"47,900",남,색상도 마음에 들고 겨울에 예쁘게 잘 입을거 같아요,29,173,63,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
