상품코드,브랜드명,상품명,카테고리,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,역시 기본 이너티로 무탠다드만한게 없습니다 정말 좋아요!,02. 화이트/화이트/M,172,63,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,목이 금방 늘어질것 같긴하네요  목둘레가 탄탄하지.않습니다밑에 후기도 있는데 이너로 입을경우 접혀요,01. 화이트/블랙/3XL,180,75,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,잘맞고 무난무난해요 계절마드 사면좋을거같아요,02. 화이트/화이트/M,174,70,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,사이즈 적당함. 두께감 적당함. 원단이 단단한 것 같음,01. 화이트/블랙/M,174,64,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,무탠다드 기본템으로 레이어드 착샷배송도 빨랐고 포장상태도 깔끔했어요!요즘 같은 날씨에 손이 많이 가는 제품이라서 아주 만족스럽네요.,01. 화이트/블랙/XL,177,68,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,그냥그냥 받쳐입을 만한 티셔츠입니다품질은 역시 딱 무탠다드다,02. 화이트/화이트/2XL,182,101,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,아침저녁 기온차 때문에 단품으로 입기에는 아직 무리가 있어서레이어드 용으로 잘 입고 다니고 있습니다.무탠 반팔 굿이예요.,01. 화이트/블랙/2XL,177,68,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,항상 무난하게 어디에든 입고 있는 무탠다드세일한 김에 여러벌 샀네용,02. 화이트/화이트/L,172,66,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",여,기본 티 필요해서 구입했어요 코디할때 좋을것같아요,01. 화이트/블랙/M,165,66,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
2050094,MUSINSA STANDARD,베이식 크루 넥 반팔 티셔츠 2팩,상의,"27,800",남,핏이랑 원단이 너무 마음에 듭니다 하나 더 구매할까 고민중입니다,02. 화이트/화이트/M,173,68,-,-,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
