상품코드,브랜드명,상품명,가격,성별,리뷰내용,옵션,키,몸무게,배송,포장,사이즈,밝기,색감,두께감,보온성,무게감,발색력,지속력,수분감,수납공간
3000028,D.XO.H,스트라이프 택로고 나시 블랙/화이트,"41,000",여,너무 예뻐요 매일 착용하고 있어요 감사합니다 또 올게요,FREE,158,53,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,예뻐여 니트류인데 얇아서 여름에도 괜찮게 입었어여,FREE,162,48,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,뒤가 포인트에요! 휴양지랑 잘 어울리는 컬러입니단,FREE,156,47,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,배송이 엄청 꼼꼼하게 와서 좋았어요! 모델 착용샷을 보고 허리까지 슬림하게 붙는 핏일 줄 알았는데 막상 입어보니 가슴은 붙고 허리는 헐렁한 핏이더라구요! 사이즈표 잘 보고 구매하셔야 될 것 같습니다! 아 그리고 생각보다 많이 파인 느낌은 아니라 많이 부담스럽진 않아요. 색상은 모델착과 동일합니다. 옷이 엄청 얇아서 세탁 주의해서 해야될 것 같아용,FREE,156,56,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,얇아요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,색상 화면이랑 똑같아요. 분홍색 진짜 예뻐요! 등이 많이 보여서 조금 부담스러워욯ㅎㅎ!,FREE,163,53,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,포인트 주기 너무 예쁜 옷이에요! 보라카이 가서 잘 입었습니다,FREE,156,47,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,완전 여름에 입기 좋아용!! 색도 예쀼규 근데 이거 등판이 이렇개 까지 내려가잇을 줄 몰랏러요 이거 뷸화쟈는 어케 해결해료?,FREE,164,53,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000033,D.XO.H,스트라이프 택로고 나시 핑크/아이보리,"41,000",여,배송이 엄청 꼼꼼하게 와서 좋았어요! 모델 착용샷을 보고 허리까지 슬림하게 붙는 핏일 줄 알았는데 막상 입어보니 가슴은 붙고 허리는 헐렁한 핏이더라구요! 사이즈표 잘 보고 구매하셔야 될 것 같습니다! 옷이 엄청 얇아서 세탁 주의해서 해야될 것 같아용,FREE,156,56,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,얇아요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,미국 가서 입었는데 핫하고 흔하지 않은 디자인이라 너무 예뻤어요,FREE,164,54,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,두꺼운재질이 아니어서 한여름에 시원하게 잘 입었어요,FREE,157,45,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,"포인트 주고 싶은 날 잘 입었어요 흔하지 않은 디자인이라 좋았고, 가격만 조금 더 싸면 깔 별로 살 거 같아요",FREE,164,54,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,일단 옷 핏이 진짜 예뻐요 휴양지 여행가서 입을려고 산건데 완전 만족해요~!,FREE,155,45,빨라요,꼼꼼해요,보통이에요,어두워요,선명해요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,그레이가 맘에 들어서 블랙도 하나 장만했어여! 짱,FREE,160,50,빨라요,꼼꼼해요,보통이에요,어두워요,보통이에요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,사이즈도 잘맞고 핏감도 예뻐요한여름에 시원하게 잘입어지네요,FREE,157,45,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,디자인 너무 예쁘구 재질도 보드랍고 얇고 시원해요,FREE,166,52,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,휴양지 가서 입으려고 산 옷인데 완전 마음에 들어요!,FREE,155,45,빨라요,꼼꼼해요,보통이에요,어두워요,선명해요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,의상으로 입었는데 정말 예쁘더라구요 !!추천합니다 !!,FREE,168,51,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,얇아요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",-,여행갈때 입으려고 샀는데 진짜 대존예입니다 재질도 탄탄하니 좋아요,FREE,0,0,빨라요,꼼꼼해요,보통이에요,어두워요,선명해요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,그레이가 맘에 들어서 블랙도 하나 장만했어여! 짱,FREE,160,50,빨라요,꼼꼼해요,보통이에요,어두워요,보통이에요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,사진이랑 똑같아요! 안에 실리콘브라 붙이면 티도 안나고 핵편함!,FREE,160,55,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,디자인이 이쁘다고 생각해서 주문했어요홀터넥디자인은 첨 입어보는데이쁜거같아요,FREE,157,45,빨라요,꼼꼼해요,보통이에요,보통이에요,보통이에요,얇아요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,디자인도 예쁘고 배송도 빠르고 재질도 시원해요,FREE,166,52,빨라요,꼼꼼해요,보통이에요,밝아요,선명해요,보통이에요,-,-,-,-,-,-
3000035,D.XO.H,택로고 나시 블랙,"41,000",여,홀터넥 디자인이 잘 나왔어요. 다만 목 부분이 부담되기 쉬운 것 같고 옷 색깔에 맞는 단추로 마감을 했으면 더 좋지 않았을까 싶어요,FREE,165,60,빨라요,꼼꼼해요,보통이에요,보통이에요,선명해요,보통이에요,-,-,-,-,-,-
